trial_id,file_path,label,rejected
1,../data/processed/filtered_trials\cellula_MI_data_1.csv,left,False
2,../data/processed/filtered_trials\cellula_MI_data_2.csv,right,False
3,../data/processed/filtered_trials\cellula_MI_data_3.csv,left,False
4,../data/processed/filtered_trials\cellula_MI_data_4.csv,left,False
5,../data/processed/filtered_trials\cellula_MI_data_5.csv,left,False
6,../data/processed/filtered_trials\cellula_MI_data_6.csv,right,False
7,../data/processed/filtered_trials\cellula_MI_data_7.csv,right,False
8,../data/processed/filtered_trials\cellula_MI_data_8.csv,left,False
9,../data/processed/filtered_trials\cellula_MI_data_9.csv,left,False
10,../data/processed/filtered_trials\cellula_MI_data_10.csv,right,False
11,../data/processed/filtered_trials\cellula_MI_data_11.csv,left,False
12,../data/processed/filtered_trials\cellula_MI_data_12.csv,right,False
13,../data/processed/filtered_trials\cellula_MI_data_13.csv,left,False
14,../data/processed/filtered_trials\cellula_MI_data_14.csv,left,False
15,../data/processed/filtered_trials\cellula_MI_data_15.csv,left,False
16,../data/processed/filtered_trials\cellula_MI_data_16.csv,right,False
17,../data/processed/filtered_trials\cellula_MI_data_17.csv,right,False
18,../data/processed/filtered_trials\cellula_MI_data_18.csv,left,False
19,../data/processed/filtered_trials\cellula_MI_data_19.csv,right,False
20,../data/processed/filtered_trials\cellula_MI_data_20.csv,left,False
21,../data/processed/filtered_trials\cellula_MI_data_21.csv,right,False
22,../data/processed/filtered_trials\cellula_MI_data_22.csv,left,False
23,../data/processed/filtered_trials\cellula_MI_data_23.csv,left,False
24,../data/processed/filtered_trials\cellula_MI_data_24.csv,left,False
25,../data/processed/filtered_trials\cellula_MI_data_25.csv,left,False
26,../data/processed/filtered_trials\cellula_MI_data_26.csv,right,False
27,../data/processed/filtered_trials\cellula_MI_data_27.csv,right,False
28,../data/processed/filtered_trials\cellula_MI_data_28.csv,right,False
29,../data/processed/filtered_trials\cellula_MI_data_29.csv,left,False
30,../data/processed/filtered_trials\cellula_MI_data_30.csv,right,False
31,../data/processed/filtered_trials\cellula_MI_data_31.csv,left,False
32,../data/processed/filtered_trials\cellula_MI_data_32.csv,left,False
33,../data/processed/filtered_trials\cellula_MI_data_33.csv,left,False
