trial_id,file_path,label
1,../data/processed/rereferenced_trials\cellula_MI_data_1.csv,left
2,../data/processed/rereferenced_trials\cellula_MI_data_2.csv,right
3,../data/processed/rereferenced_trials\cellula_MI_data_3.csv,left
4,../data/processed/rereferenced_trials\cellula_MI_data_4.csv,left
5,../data/processed/rereferenced_trials\cellula_MI_data_5.csv,left
6,../data/processed/rereferenced_trials\cellula_MI_data_6.csv,right
7,../data/processed/rereferenced_trials\cellula_MI_data_7.csv,right
8,../data/processed/rereferenced_trials\cellula_MI_data_8.csv,left
9,../data/processed/rereferenced_trials\cellula_MI_data_9.csv,left
10,../data/processed/rereferenced_trials\cellula_MI_data_10.csv,right
11,../data/processed/rereferenced_trials\cellula_MI_data_11.csv,left
12,../data/processed/rereferenced_trials\cellula_MI_data_12.csv,right
13,../data/processed/rereferenced_trials\cellula_MI_data_13.csv,left
14,../data/processed/rereferenced_trials\cellula_MI_data_14.csv,left
15,../data/processed/rereferenced_trials\cellula_MI_data_15.csv,left
16,../data/processed/rereferenced_trials\cellula_MI_data_16.csv,right
17,../data/processed/rereferenced_trials\cellula_MI_data_17.csv,right
18,../data/processed/rereferenced_trials\cellula_MI_data_18.csv,left
19,../data/processed/rereferenced_trials\cellula_MI_data_19.csv,right
20,../data/processed/rereferenced_trials\cellula_MI_data_20.csv,left
21,../data/processed/rereferenced_trials\cellula_MI_data_21.csv,right
22,../data/processed/rereferenced_trials\cellula_MI_data_22.csv,left
23,../data/processed/rereferenced_trials\cellula_MI_data_23.csv,left
24,../data/processed/rereferenced_trials\cellula_MI_data_24.csv,left
25,../data/processed/rereferenced_trials\cellula_MI_data_25.csv,left
26,../data/processed/rereferenced_trials\cellula_MI_data_26.csv,right
27,../data/processed/rereferenced_trials\cellula_MI_data_27.csv,right
28,../data/processed/rereferenced_trials\cellula_MI_data_28.csv,right
29,../data/processed/rereferenced_trials\cellula_MI_data_29.csv,left
30,../data/processed/rereferenced_trials\cellula_MI_data_30.csv,right
31,../data/processed/rereferenced_trials\cellula_MI_data_31.csv,left
32,../data/processed/rereferenced_trials\cellula_MI_data_32.csv,left
33,../data/processed/rereferenced_trials\cellula_MI_data_33.csv,left
34,../data/processed/rereferenced_trials\cellula_MI_data_34.csv,right
35,../data/processed/rereferenced_trials\cellula_MI_data_35.csv,left
36,../data/processed/rereferenced_trials\cellula_MI_data_36.csv,right
37,../data/processed/rereferenced_trials\cellula_MI_data_37.csv,right
38,../data/processed/rereferenced_trials\cellula_MI_data_38.csv,left
39,../data/processed/rereferenced_trials\cellula_MI_data_39.csv,right
40,../data/processed/rereferenced_trials\cellula_MI_data_40.csv,left
41,../data/processed/rereferenced_trials\cellula_MI_data_41.csv,left
42,../data/processed/rereferenced_trials\cellula_MI_data_42.csv,left
43,../data/processed/rereferenced_trials\cellula_MI_data_43.csv,left
44,../data/processed/rereferenced_trials\cellula_MI_data_44.csv,right
45,../data/processed/rereferenced_trials\cellula_MI_data_45.csv,left
46,../data/processed/rereferenced_trials\cellula_MI_data_46.csv,left
47,../data/processed/rereferenced_trials\cellula_MI_data_47.csv,right
48,../data/processed/rereferenced_trials\cellula_MI_data_48.csv,right
49,../data/processed/rereferenced_trials\cellula_MI_data_49.csv,right
50,../data/processed/rereferenced_trials\cellula_MI_data_50.csv,right
51,../data/processed/rereferenced_trials\cellula_MI_data_51.csv,right
52,../data/processed/rereferenced_trials\cellula_MI_data_52.csv,right
53,../data/processed/rereferenced_trials\cellula_MI_data_53.csv,right
54,../data/processed/rereferenced_trials\cellula_MI_data_54.csv,left
55,../data/processed/rereferenced_trials\cellula_MI_data_55.csv,right
56,../data/processed/rereferenced_trials\cellula_MI_data_56.csv,right
57,../data/processed/rereferenced_trials\cellula_MI_data_57.csv,right
58,../data/processed/rereferenced_trials\cellula_MI_data_58.csv,left
59,../data/processed/rereferenced_trials\cellula_MI_data_59.csv,left
60,../data/processed/rereferenced_trials\cellula_MI_data_60.csv,right
61,../data/processed/rereferenced_trials\cellula_MI_data_61.csv,left
62,../data/processed/rereferenced_trials\cellula_MI_data_62.csv,left
63,../data/processed/rereferenced_trials\cellula_MI_data_63.csv,left
64,../data/processed/rereferenced_trials\cellula_MI_data_64.csv,left
65,../data/processed/rereferenced_trials\cellula_MI_data_65.csv,left
66,../data/processed/rereferenced_trials\cellula_MI_data_66.csv,right
67,../data/processed/rereferenced_trials\cellula_MI_data_67.csv,right
68,../data/processed/rereferenced_trials\cellula_MI_data_68.csv,left
69,../data/processed/rereferenced_trials\cellula_MI_data_69.csv,left
70,../data/processed/rereferenced_trials\cellula_MI_data_70.csv,left
71,../data/processed/rereferenced_trials\cellula_MI_data_71.csv,right
72,../data/processed/rereferenced_trials\cellula_MI_data_72.csv,right
73,../data/processed/rereferenced_trials\cellula_MI_data_73.csv,right
74,../data/processed/rereferenced_trials\cellula_MI_data_74.csv,right
75,../data/processed/rereferenced_trials\cellula_MI_data_75.csv,left
76,../data/processed/rereferenced_trials\cellula_MI_data_76.csv,left
77,../data/processed/rereferenced_trials\cellula_MI_data_77.csv,left
78,../data/processed/rereferenced_trials\cellula_MI_data_78.csv,right
79,../data/processed/rereferenced_trials\cellula_MI_data_79.csv,right
80,../data/processed/rereferenced_trials\cellula_MI_data_80.csv,left
81,../data/processed/rereferenced_trials\cellula_MI_data_81.csv,right
82,../data/processed/rereferenced_trials\cellula_MI_data_82.csv,left
83,../data/processed/rereferenced_trials\cellula_MI_data_83.csv,left
84,../data/processed/rereferenced_trials\cellula_MI_data_84.csv,left
85,../data/processed/rereferenced_trials\cellula_MI_data_85.csv,right
86,../data/processed/rereferenced_trials\cellula_MI_data_86.csv,right
87,../data/processed/rereferenced_trials\cellula_MI_data_87.csv,left
88,../data/processed/rereferenced_trials\cellula_MI_data_88.csv,right
89,../data/processed/rereferenced_trials\cellula_MI_data_89.csv,right
90,../data/processed/rereferenced_trials\cellula_MI_data_90.csv,right
91,../data/processed/rereferenced_trials\cellula_MI_data_91.csv,left
92,../data/processed/rereferenced_trials\cellula_MI_data_92.csv,left
93,../data/processed/rereferenced_trials\cellula_MI_data_93.csv,right
94,../data/processed/rereferenced_trials\cellula_MI_data_94.csv,right
95,../data/processed/rereferenced_trials\cellula_MI_data_95.csv,right
96,../data/processed/rereferenced_trials\cellula_MI_data_96.csv,right
97,../data/processed/rereferenced_trials\cellula_MI_data_97.csv,left
98,../data/processed/rereferenced_trials\cellula_MI_data_98.csv,left
99,../data/processed/rereferenced_trials\cellula_MI_data_99.csv,right
100,../data/processed/rereferenced_trials\cellula_MI_data_100.csv,left
101,../data/processed/rereferenced_trials\cellula_MI_data_101.csv,left
102,../data/processed/rereferenced_trials\cellula_MI_data_102.csv,right
103,../data/processed/rereferenced_trials\cellula_MI_data_103.csv,left
104,../data/processed/rereferenced_trials\cellula_MI_data_104.csv,right
105,../data/processed/rereferenced_trials\cellula_MI_data_105.csv,left
106,../data/processed/rereferenced_trials\cellula_MI_data_106.csv,left
107,../data/processed/rereferenced_trials\cellula_MI_data_107.csv,right
108,../data/processed/rereferenced_trials\cellula_MI_data_108.csv,left
109,../data/processed/rereferenced_trials\cellula_MI_data_109.csv,right
110,../data/processed/rereferenced_trials\cellula_MI_data_110.csv,right
111,../data/processed/rereferenced_trials\cellula_MI_data_111.csv,left
112,../data/processed/rereferenced_trials\cellula_MI_data_112.csv,left
113,../data/processed/rereferenced_trials\cellula_MI_data_113.csv,right
114,../data/processed/rereferenced_trials\cellula_MI_data_114.csv,left
115,../data/processed/rereferenced_trials\cellula_MI_data_115.csv,left
116,../data/processed/rereferenced_trials\cellula_MI_data_116.csv,left
117,../data/processed/rereferenced_trials\cellula_MI_data_117.csv,left
118,../data/processed/rereferenced_trials\cellula_MI_data_118.csv,right
119,../data/processed/rereferenced_trials\cellula_MI_data_119.csv,left
120,../data/processed/rereferenced_trials\cellula_MI_data_120.csv,left
121,../data/processed/rereferenced_trials\cellula_MI_data_121.csv,left
122,../data/processed/rereferenced_trials\cellula_MI_data_122.csv,right
123,../data/processed/rereferenced_trials\cellula_MI_data_123.csv,left
124,../data/processed/rereferenced_trials\cellula_MI_data_124.csv,left
125,../data/processed/rereferenced_trials\cellula_MI_data_125.csv,left
126,../data/processed/rereferenced_trials\cellula_MI_data_126.csv,left
127,../data/processed/rereferenced_trials\cellula_MI_data_127.csv,right
128,../data/processed/rereferenced_trials\cellula_MI_data_128.csv,right
129,../data/processed/rereferenced_trials\cellula_MI_data_129.csv,right
130,../data/processed/rereferenced_trials\cellula_MI_data_130.csv,left
131,../data/processed/rereferenced_trials\cellula_MI_data_131.csv,right
132,../data/processed/rereferenced_trials\cellula_MI_data_132.csv,left
133,../data/processed/rereferenced_trials\cellula_MI_data_133.csv,right
134,../data/processed/rereferenced_trials\cellula_MI_data_134.csv,left
135,../data/processed/rereferenced_trials\cellula_MI_data_135.csv,left
136,../data/processed/rereferenced_trials\cellula_MI_data_136.csv,right
137,../data/processed/rereferenced_trials\cellula_MI_data_137.csv,right
138,../data/processed/rereferenced_trials\cellula_MI_data_138.csv,right
139,../data/processed/rereferenced_trials\cellula_MI_data_139.csv,left
140,../data/processed/rereferenced_trials\cellula_MI_data_140.csv,right
141,../data/processed/rereferenced_trials\cellula_MI_data_141.csv,left
142,../data/processed/rereferenced_trials\cellula_MI_data_142.csv,right
143,../data/processed/rereferenced_trials\cellula_MI_data_143.csv,right
144,../data/processed/rereferenced_trials\cellula_MI_data_144.csv,right
145,../data/processed/rereferenced_trials\cellula_MI_data_145.csv,right
146,../data/processed/rereferenced_trials\cellula_MI_data_146.csv,left
147,../data/processed/rereferenced_trials\cellula_MI_data_147.csv,left
148,../data/processed/rereferenced_trials\cellula_MI_data_148.csv,right
149,../data/processed/rereferenced_trials\cellula_MI_data_149.csv,right
150,../data/processed/rereferenced_trials\cellula_MI_data_150.csv,right
151,../data/processed/rereferenced_trials\cellula_MI_data_151.csv,right
152,../data/processed/rereferenced_trials\cellula_MI_data_152.csv,left
153,../data/processed/rereferenced_trials\cellula_MI_data_153.csv,right
154,../data/processed/rereferenced_trials\cellula_MI_data_154.csv,right
155,../data/processed/rereferenced_trials\cellula_MI_data_155.csv,left
156,../data/processed/rereferenced_trials\cellula_MI_data_156.csv,left
157,../data/processed/rereferenced_trials\cellula_MI_data_157.csv,left
158,../data/processed/rereferenced_trials\cellula_MI_data_158.csv,left
159,../data/processed/rereferenced_trials\cellula_MI_data_159.csv,left
160,../data/processed/rereferenced_trials\cellula_MI_data_160.csv,right
161,../data/processed/rereferenced_trials\cellula_MI_data_161.csv,left
162,../data/processed/rereferenced_trials\cellula_MI_data_162.csv,left
163,../data/processed/rereferenced_trials\cellula_MI_data_163.csv,right
164,../data/processed/rereferenced_trials\cellula_MI_data_164.csv,left
165,../data/processed/rereferenced_trials\cellula_MI_data_165.csv,right
166,../data/processed/rereferenced_trials\cellula_MI_data_166.csv,left
167,../data/processed/rereferenced_trials\cellula_MI_data_167.csv,right
168,../data/processed/rereferenced_trials\cellula_MI_data_168.csv,right
169,../data/processed/rereferenced_trials\cellula_MI_data_169.csv,right
170,../data/processed/rereferenced_trials\cellula_MI_data_170.csv,left
171,../data/processed/rereferenced_trials\cellula_MI_data_171.csv,left
172,../data/processed/rereferenced_trials\cellula_MI_data_172.csv,left
173,../data/processed/rereferenced_trials\cellula_MI_data_173.csv,left
174,../data/processed/rereferenced_trials\cellula_MI_data_174.csv,right
175,../data/processed/rereferenced_trials\cellula_MI_data_175.csv,left
176,../data/processed/rereferenced_trials\cellula_MI_data_176.csv,left
177,../data/processed/rereferenced_trials\cellula_MI_data_177.csv,right
178,../data/processed/rereferenced_trials\cellula_MI_data_178.csv,right
179,../data/processed/rereferenced_trials\cellula_MI_data_179.csv,right
180,../data/processed/rereferenced_trials\cellula_MI_data_180.csv,left
181,../data/processed/rereferenced_trials\cellula_MI_data_181.csv,left
182,../data/processed/rereferenced_trials\cellula_MI_data_182.csv,left
183,../data/processed/rereferenced_trials\cellula_MI_data_183.csv,right
184,../data/processed/rereferenced_trials\cellula_MI_data_184.csv,left
185,../data/processed/rereferenced_trials\cellula_MI_data_185.csv,left
186,../data/processed/rereferenced_trials\cellula_MI_data_186.csv,right
187,../data/processed/rereferenced_trials\cellula_MI_data_187.csv,left
188,../data/processed/rereferenced_trials\cellula_MI_data_188.csv,left
189,../data/processed/rereferenced_trials\cellula_MI_data_189.csv,right
190,../data/processed/rereferenced_trials\cellula_MI_data_190.csv,right
191,../data/processed/rereferenced_trials\cellula_MI_data_191.csv,right
192,../data/processed/rereferenced_trials\cellula_MI_data_192.csv,right
193,../data/processed/rereferenced_trials\cellula_MI_data_193.csv,right
194,../data/processed/rereferenced_trials\cellula_MI_data_194.csv,left
195,../data/processed/rereferenced_trials\cellula_MI_data_195.csv,right
196,../data/processed/rereferenced_trials\cellula_MI_data_196.csv,right
197,../data/processed/rereferenced_trials\cellula_MI_data_197.csv,left
198,../data/processed/rereferenced_trials\cellula_MI_data_198.csv,left
199,../data/processed/rereferenced_trials\cellula_MI_data_199.csv,left
200,../data/processed/rereferenced_trials\cellula_MI_data_200.csv,right
201,../data/processed/rereferenced_trials\cellula_MI_data_201.csv,left
202,../data/processed/rereferenced_trials\cellula_MI_data_202.csv,right
203,../data/processed/rereferenced_trials\cellula_MI_data_203.csv,right
204,../data/processed/rereferenced_trials\cellula_MI_data_204.csv,right
205,../data/processed/rereferenced_trials\cellula_MI_data_205.csv,left
206,../data/processed/rereferenced_trials\cellula_MI_data_206.csv,left
207,../data/processed/rereferenced_trials\cellula_MI_data_207.csv,right
208,../data/processed/rereferenced_trials\cellula_MI_data_208.csv,left
209,../data/processed/rereferenced_trials\cellula_MI_data_209.csv,left
210,../data/processed/rereferenced_trials\cellula_MI_data_210.csv,left
211,../data/processed/rereferenced_trials\cellula_MI_data_211.csv,right
212,../data/processed/rereferenced_trials\cellula_MI_data_212.csv,left
